Make_model,version,Power,Range,Fuel,Gears,Doors,Seats,drive,Body,Deposit,MonthlyAmount,AnnualMileage,Duration,Services_included,URL,PICTURE_URL,offre,DateTime
Ford Explorer,Premium 77kWh Extended Range RWD,,,Electric,Automatic,5,5,Rear,SUV,100.000 kr,6.220 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/205008/ford-explorer/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fmcoqcc76w5so3cl.png,NAF Lease,09/03/2026 17:22:37
Ford Explorer,Premium 77kWh Extended Range RWD,,,Electric,Automatic,5,5,Rear,SUV,100.000 kr,6.479 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/205008/ford-explorer/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fdzgplpee6gyaoew.png,NAF Lease,09/03/2026 17:22:37
Ford Explorer,Premium 77kWh Extended Range RWD,,,Electric,Automatic,5,5,Rear,SUV,100.000 kr,6.479 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/205008/ford-explorer/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fudex59t6gtevih6.png,NAF Lease,09/03/2026 17:22:37
Ford Explorer,Premium 77kWh Extended Range RWD,,,Electric,Automatic,5,5,Rear,SUV,100.000 kr,6.940 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/205008/ford-explorer/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Ffggd2c1p5mi5t96.png,NAF Lease,09/03/2026 17:22:37
BMW i4,M60,601,,Electric,Automatic,5,5,,Hatchback,100.000 kr,8.810 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/204971/bmw-i4/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fcewaev9cza6mgjd.png,NAF Lease,09/03/2026 17:22:37
BMW i4,M60,601,,Electric,Automatic,5,5,,Hatchback,100.000 kr,9.119 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/204971/bmw-i4/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fn8f17kcpeq589h2.png,NAF Lease,09/03/2026 17:22:37
BMW i4,M60,601,,Electric,Automatic,5,5,,Hatchback,100.000 kr,9.119 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/204971/bmw-i4/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Ftdga8ejglyq4uu0.png,NAF Lease,09/03/2026 17:22:37
BMW i4,M60,601,,Electric,Automatic,5,5,,Hatchback,100.000 kr,9.669 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/204971/bmw-i4/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F979agoy6jzgx5q8.png,NAF Lease,09/03/2026 17:22:37
NIO ET5,BAAS inkl,,540,Electric,Automatic,5,5,,Hatchback,100.000 kr,9.630 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121754/nio-et5/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fi36dyaytn82wu2z.png,NAF Lease,09/03/2026 17:22:37
NIO ET5,BAAS inkl,,540,Electric,Automatic,5,5,,Hatchback,100.000 kr,9.870 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121754/nio-et5/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fuqgsus1wd2jjd9x.png,NAF Lease,09/03/2026 17:22:37
NIO ET5,BAAS inkl,,540,Electric,Automatic,5,5,,Hatchback,100.000 kr,9.870 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121754/nio-et5/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F3oqlmyqh54kzeyr.png,NAF Lease,09/03/2026 17:22:37
NIO ET5,BAAS inkl,,540,Electric,Automatic,5,5,,Hatchback,100.000 kr,10.450 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121754/nio-et5/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Ft5cnskb6nj1rybh.png,NAF Lease,09/03/2026 17:22:37
NIO ET5,Stv BAAS inkl.,,,Electric,Automatic,5,5,,Stationwagon,100.000 kr,9.930 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121785/nio-et5/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fcerv3d90zl6css9.png,NAF Lease,09/03/2026 17:22:37
NIO ET5,Stv BAAS inkl.,,,Electric,Automatic,5,5,,Stationwagon,100.000 kr,10.170 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121785/nio-et5/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fc03u57mex5cbcnk.png,NAF Lease,09/03/2026 17:22:37
NIO ET5,Stv BAAS inkl.,,,Electric,Automatic,5,5,,Stationwagon,100.000 kr,10.170 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121785/nio-et5/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fqfjy22rwg3l9jqi.png,NAF Lease,09/03/2026 17:22:37
NIO ET5,Stv BAAS inkl.,,,Electric,Automatic,5,5,,Stationwagon,100.000 kr,10.780 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121785/nio-et5/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fbm938981qlvcnj4.png,NAF Lease,09/03/2026 17:22:37
NIO EL8,100 kWh Base,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,16.560 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/154809/nio-el8/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F886q1gwkxgv3ifz.png,NAF Lease,09/03/2026 17:22:37
NIO EL8,100 kWh Base,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,16.930 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/154809/nio-el8/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fs81jk9okgvua8o6.png,NAF Lease,09/03/2026 17:22:37
NIO EL8,100 kWh Base,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,16.930 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/154809/nio-el8/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Foxx8zzj681y4lo2.png,NAF Lease,09/03/2026 17:22:37
NIO EL8,100 kWh Base,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,17.869 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/154809/nio-el8/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F5umzrf5f5041aqe.png,NAF Lease,09/03/2026 17:22:37
Polestar 2,LRDM,421,,Electric,Automatic,5,5,,Hatchback,100.000 kr,3.299 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/204418/polestar-2/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fu6safy0ck1zjl7u.png,NAF Lease,09/03/2026 17:22:37
Polestar 2,LRDM,421,,Electric,Automatic,5,5,,Hatchback,100.000 kr,3.570 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/204418/polestar-2/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fij29zg1iswbmjj4.png,NAF Lease,09/03/2026 17:22:37
Polestar 2,LRDM,421,,Electric,Automatic,5,5,,Hatchback,100.000 kr,3.570 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/204418/polestar-2/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fjxfw0yiqabidv2k.png,NAF Lease,09/03/2026 17:22:37
Polestar 2,LRDM,421,,Electric,Automatic,5,5,,Hatchback,100.000 kr,4.050 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/204418/polestar-2/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F310z4ei4iytcjzw.png,NAF Lease,09/03/2026 17:22:37
Skoda Elroq,Elroq RS,340,,Electric,Automatic,5,5,,SUV,100.000 kr,6.390 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/184912/skoda-elroq/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fzsu7ap1ieuirqs8.png,NAF Lease,09/03/2026 17:22:37
Skoda Elroq,Elroq RS,340,,Electric,Automatic,5,5,,SUV,100.000 kr,6.660 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/184912/skoda-elroq/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F5lmiu20vvbtg7i2.png,NAF Lease,09/03/2026 17:22:37
Skoda Elroq,Elroq RS,340,,Electric,Automatic,5,5,,SUV,100.000 kr,6.660 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/184912/skoda-elroq/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Feza2i076tyb86qy.png,NAF Lease,09/03/2026 17:22:37
Skoda Elroq,Elroq RS,340,,Electric,Automatic,5,5,,SUV,100.000 kr,7.140 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/184912/skoda-elroq/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F9nmr7wu7lymfiwi.png,NAF Lease,09/03/2026 17:22:37
Nissan Micra,52kWH Evolve,,,Electric,Automatic,5,5,Front,Hatchback,100.000 kr,2.270 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/208598/nissan-micra/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F1wk3iccn3dxg2jx.png,NAF Lease,09/03/2026 17:22:37
Nissan Micra,52kWH Evolve,,,Electric,Automatic,5,5,Front,Hatchback,100.000 kr,2.430 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/208598/nissan-micra/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fcxm2zw0vpgqdldt.png,NAF Lease,09/03/2026 17:22:37
Nissan Micra,52kWH Evolve,,,Electric,Automatic,5,5,Front,Hatchback,100.000 kr,2.430 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/208598/nissan-micra/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fp73fc8kif5f0ulc.png,NAF Lease,09/03/2026 17:22:37
Nissan Micra,52kWH Evolve,,,Electric,Automatic,5,5,Front,Hatchback,100.000 kr,2.730 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/208598/nissan-micra/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fidl5w5c9bhgw7xv.png,NAF Lease,09/03/2026 17:22:37
Skoda Enyaq,85X,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,6.350 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/184044/skoda-enyaq/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fx7n9izn4w7n62sn.png,NAF Lease,09/03/2026 17:22:37
Skoda Enyaq,85X,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,6.620 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/184044/skoda-enyaq/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fxgzj9stwfs5qeui.png,NAF Lease,09/03/2026 17:22:37
Skoda Enyaq,85X,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,6.620 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/184044/skoda-enyaq/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fn28j37jx05i01ss.png,NAF Lease,09/03/2026 17:22:37
Skoda Enyaq,85X,,,Electric,Automatic,5,5,4x4,SUV,100.000 kr,7.110 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/184044/skoda-enyaq/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Ftkkqvbnox7b1i65.png,NAF Lease,09/03/2026 17:22:37
Volkswagen Id4,Businessline 4Motion,,519,Electric,Automatic,5,5,,SUV,100.000 kr,5.750 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121730/volkswagen-id4/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F2lhzd5226686dlu.png,NAF Lease,09/03/2026 17:22:37
Volkswagen Id4,Businessline 4Motion,,519,Electric,Automatic,5,5,,SUV,100.000 kr,5.990 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121730/volkswagen-id4/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Ftvuyjoh479vou7s.png,NAF Lease,09/03/2026 17:22:37
Volkswagen Id4,Businessline 4Motion,,519,Electric,Automatic,5,5,,SUV,100.000 kr,5.990 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121730/volkswagen-id4/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fvs9ahblfc6bmh9p.png,NAF Lease,09/03/2026 17:22:37
Volkswagen Id4,Businessline 4Motion,,519,Electric,Automatic,5,5,,SUV,100.000 kr,6.429 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121730/volkswagen-id4/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fmn161vaknnuta9j.png,NAF Lease,09/03/2026 17:22:37
Volkswagen ID.7 Stv,4motion GTX Tourer,,,Electric,Automatic,5,5,4x4,Stationwagon,100.000 kr,7.575 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/165519/volkswagen-id.7-stv/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fpuw2sd9pcgy52q6.png,NAF Lease,09/03/2026 17:22:37
Volkswagen ID.7 Stv,4motion GTX Tourer,,,Electric,Automatic,5,5,4x4,Stationwagon,100.000 kr,7.879 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/165519/volkswagen-id.7-stv/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fzd5xbenwg2z1t0z.png,NAF Lease,09/03/2026 17:22:37
Volkswagen ID.7 Stv,4motion GTX Tourer,,,Electric,Automatic,5,5,4x4,Stationwagon,100.000 kr,7.879 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/165519/volkswagen-id.7-stv/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F51jk8cr4zpuwl1v.png,NAF Lease,09/03/2026 17:22:37
Volkswagen ID.7 Stv,4motion GTX Tourer,,,Electric,Automatic,5,5,4x4,Stationwagon,100.000 kr,8.439 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/165519/volkswagen-id.7-stv/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fzutb37wvlv5dvm4.png,NAF Lease,09/03/2026 17:22:37
BMW iX1,Xdrive30 Charged,,438,Electric,Automatic,5,5,,SUV,100.000 kr,6.349 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121749/bmw-ix1/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F6tmbpli9yw985o7.png,NAF Lease,09/03/2026 17:22:37
BMW iX1,Xdrive30 Charged,,438,Electric,Automatic,5,5,,SUV,100.000 kr,6.589 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121749/bmw-ix1/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fd2s38l2mgkx639j.png,NAF Lease,09/03/2026 17:22:37
BMW iX1,Xdrive30 Charged,,438,Electric,Automatic,5,5,,SUV,100.000 kr,6.589 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121749/bmw-ix1/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F32yj2t83su76r4u.png,NAF Lease,09/03/2026 17:22:37
BMW iX1,Xdrive30 Charged,,438,Electric,Automatic,5,5,,SUV,100.000 kr,7.010 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/121749/bmw-ix1/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fsg2tent0kyerw37.png,NAF Lease,09/03/2026 17:22:37
